Crop,State,Land_Area,Yield_per_Acre,Predicted_Price,Cultivation_Cost,Production,Revenue,Profit,Loan_Amount,Interest_Rate,Tenure,EMI,Profit_Margin,Debt_to_Profit_Ratio,Risk
Rice,Punjab,9.29,2.23,26120.54,118821.26,20.72,541217.59,422396.33,33830.64,8.08,6,5772.06,78.05,0.08,SAFE
Rice,Haryana,8.99,3.22,29986.73,227107.86,28.95,868115.83,641007.97,178785.46,10.37,9,20733.23,73.84,0.28,SAFE
Rice,Bihar,5.23,1.82,19309.05,119361.37,9.52,183822.16,64460.79,284626.63,11.09,12,25167.72,35.07,4.42,RISKY
Wheat,Haryana,5.98,2.44,19852.01,156644.66,14.59,289640.83,132996.17,61898.98,9.96,12,5440.75,45.92,0.47,SAFE
Wheat,Haryana,3.69,3.35,22596.15,112339.81,12.36,279288.41,166948.6,90467.82,11.71,12,8025.69,59.78,0.54,SAFE
Rice,Haryana,7.77,3.74,20446.16,126166.72,29.06,594165.41,467998.69,111720.26,9.73,9,12922.04,78.77,0.24,SAFE
Rice,Madhya Pradesh,8.92,1.78,18474.41,146024.5,15.88,293373.63,147349.13,189230.45,11.07,9,22007.28,50.23,1.28,SAFE
Rice,Uttar Pradesh,7.57,1.75,27182.88,180146.2,13.25,360173.16,180026.96,171620.83,9.07,6,29364.9,49.98,0.95,SAFE
Rice,Madhya Pradesh,8.9,2.07,23083.15,99404.81,18.42,425191.62,325786.81,82677.3,7.11,6,14066.71,76.62,0.25,SAFE
Wheat,Bihar,2.66,2.49,29786.02,145490.39,6.62,197183.45,51693.06,64894.46,8.61,9,7471.64,26.22,1.26,MODERATE
Wheat,Haryana,5.24,1.99,27159.91,95991.04,10.43,283277.86,187286.82,175933.33,10.33,9,20399.15,66.11,0.94,SAFE
Wheat,Bihar,2.52,3.38,20004.55,126578.03,8.52,170438.77,43860.74,240039.94,7.45,9,27505.85,25.73,5.47,RISKY
Wheat,Punjab,6.67,3.9,25329.36,176179.03,26.01,658816.65,482637.62,120392.41,9.09,9,13888.68,73.26,0.25,SAFE
Rice,Madhya Pradesh,3.24,3.42,21050.73,172201.33,11.08,233242.09,61040.76,261986.97,9.72,6,44910.71,26.17,4.29,RISKY
Wheat,Madhya Pradesh,2.92,2.81,26849.45,151739.25,8.21,220433.98,68694.73,276792.6,10.98,9,32178.85,31.16,4.03,RISKY
Wheat,Punjab,9.25,2.92,21082.92,148429.76,27.01,569449.67,421019.91,245592.45,8.25,12,21392.1,73.93,0.58,SAFE
Rice,Uttar Pradesh,2.68,3.49,19677.65,245965.14,9.35,183986.03,-61979.11,93179.72,9.61,12,8175.09,-33.69,999.0,RISKY
Wheat,Uttar Pradesh,9.39,3.41,21585.81,166601.45,32.02,691177.64,524576.19,200011.05,10.73,6,34386.17,75.9,0.38,SAFE
Wheat,Punjab,9.09,2.98,26041.09,162151.04,27.09,705453.13,543302.09,112850.41,11.51,12,10000.77,77.01,0.21,SAFE
Rice,Punjab,8.41,2.75,24467.28,91371.21,23.13,565928.19,474556.98,102757.02,11.47,6,17703.65,83.85,0.22,SAFE
Wheat,Punjab,9.53,1.82,18964.17,185810.87,17.34,328838.71,143027.84,131740.43,11.35,6,22689.3,43.49,0.92,SAFE
Wheat,Haryana,4.45,3.88,20306.19,88000.07,17.27,350687.9,262687.83,123078.82,11.45,9,14336.12,74.91,0.47,SAFE
Rice,Madhya Pradesh,6.0,2.72,29641.72,151197.66,16.32,483752.87,332555.21,201678.81,10.8,6,34679.85,68.74,0.61,SAFE
Rice,Punjab,6.04,2.05,25000.5,197045.26,12.38,309506.19,112460.93,99045.43,7.65,9,11358.81,36.34,0.88,MODERATE
Wheat,Haryana,9.95,2.45,29521.98,143476.89,24.38,719745.87,576268.98,246124.39,11.67,9,28694.07,80.07,0.43,SAFE
Rice,Madhya Pradesh,4.67,1.64,18905.22,123063.25,7.66,144813.99,21750.74,61007.59,8.09,6,10409.2,15.02,2.8,RISKY
Rice,Haryana,7.9,3.36,28421.11,171554.43,26.54,754296.26,582741.83,262072.47,11.23,6,45120.51,77.26,0.45,SAFE
Wheat,Uttar Pradesh,5.77,2.23,18976.61,155313.54,12.87,244228.97,88915.43,217224.4,9.05,9,25055.29,36.41,2.44,MODERATE
Wheat,Haryana,3.11,2.41,18252.74,139135.64,7.5,136895.55,-2240.09,41344.23,10.49,12,3644.24,-1.64,999.0,RISKY
Rice,Uttar Pradesh,5.15,1.65,20991.14,148623.71,8.5,178424.69,29800.98,45908.24,10.93,12,4055.95,16.7,1.54,RISKY
Rice,Haryana,7.23,2.48,20394.49,123440.23,17.93,365673.21,242232.98,93373.83,7.63,9,10707.49,66.24,0.39,SAFE
Rice,Punjab,9.98,3.09,28305.81,114720.82,30.84,872951.18,758230.36,261061.66,10.9,6,44903.96,86.86,0.34,SAFE
Rice,Punjab,5.94,3.02,27690.72,60586.23,17.94,496771.52,436185.29,55371.33,9.1,9,6388.0,87.8,0.13,SAFE
Wheat,Uttar Pradesh,1.52,2.14,28851.51,158118.39,3.25,93767.41,-64350.98,115772.14,7.78,12,10059.06,-68.63,999.0,RISKY
Rice,Punjab,1.69,3.83,21490.66,107702.17,6.47,139044.57,31342.4,74067.91,11.34,6,12756.15,22.54,2.36,RISKY
Rice,Madhya Pradesh,3.02,3.98,18283.06,71386.69,12.02,219762.38,148375.69,100165.55,10.44,12,8826.65,67.52,0.68,SAFE
Rice,Bihar,7.1,3.43,27179.85,154376.43,24.35,661829.35,507452.92,101077.56,8.32,9,11623.76,76.67,0.2,SAFE
Rice,Madhya Pradesh,2.71,3.08,27566.57,74792.93,8.35,230180.86,155387.93,108327.18,8.68,6,18514.36,67.51,0.7,SAFE
Rice,Bihar,4.56,2.25,19492.16,120535.53,10.26,199989.56,79454.03,134029.03,8.97,9,15454.23,39.73,1.69,MODERATE
Wheat,Punjab,9.24,3.14,27675.1,169265.12,29.01,802854.65,633589.53,117242.5,11.56,9,13662.43,78.92,0.19,SAFE
Rice,Punjab,4.85,1.56,27008.98,102365.24,7.57,204457.98,102092.74,185040.91,11.55,6,31887.37,49.93,1.81,MODERATE
Rice,Haryana,7.37,1.94,22628.36,196858.53,14.3,323585.55,126727.02,46701.86,10.7,6,8028.35,39.16,0.37,SAFE
Rice,Bihar,4.04,2.35,18642.69,171101.73,9.49,176919.13,5817.4,171545.65,8.83,9,19768.75,3.29,29.49,RISKY
Wheat,Haryana,4.84,3.32,22703.59,117955.06,16.07,364846.69,246891.63,237456.21,7.75,12,20628.5,67.67,0.96,SAFE
Rice,Punjab,3.97,3.42,23931.61,171696.98,13.58,324991.26,153294.28,40446.19,7.46,12,3508.26,47.17,0.26,SAFE
Rice,Bihar,2.44,3.38,27840.72,100083.18,8.25,229685.94,129602.76,281312.05,10.61,9,32654.93,56.43,2.17,MODERATE
Rice,Uttar Pradesh,6.7,2.41,19686.22,172988.41,16.15,317932.45,144944.04,64375.24,8.24,6,10988.54,45.59,0.44,SAFE
Wheat,Uttar Pradesh,1.44,3.4,26594.08,97577.81,4.9,130310.99,32733.18,159583.89,7.63,6,27192.34,25.12,4.88,RISKY
Rice,Uttar Pradesh,2.56,3.36,18562.53,247958.49,8.6,159637.76,-88320.73,167126.58,11.01,12,14771.7,-55.33,999.0,RISKY
Wheat,Madhya Pradesh,8.62,3.56,27910.27,187282.84,30.69,856566.19,669283.35,54521.83,8.57,9,6276.35,78.14,0.08,SAFE
Rice,Madhya Pradesh,5.87,2.63,25455.66,184137.04,15.44,393035.39,208898.35,209502.91,10.16,6,35959.13,53.15,1.0,SAFE
Rice,Haryana,5.22,3.23,22114.53,134184.21,16.86,372850.98,238666.77,121140.87,7.95,9,13909.89,64.01,0.51,SAFE
Rice,Punjab,2.47,2.59,18501.65,193226.52,6.4,118410.56,-74815.96,94016.95,9.2,12,8230.64,-63.18,999.0,RISKY
Rice,Bihar,3.56,3.63,23588.95,58415.2,12.92,304769.23,246354.03,84801.47,7.73,9,9728.46,80.83,0.34,SAFE
Wheat,Haryana,8.51,1.68,29270.85,199087.5,14.3,418573.16,219485.66,217094.53,10.75,6,37325.32,52.44,0.99,SAFE
Rice,Punjab,7.41,3.4,29321.87,124679.15,25.19,738617.91,613938.76,291507.78,10.11,12,25643.08,83.12,0.47,SAFE
Rice,Punjab,8.93,3.31,18437.67,145174.08,29.56,545017.53,399843.45,208177.42,8.1,9,23918.49,73.36,0.52,SAFE
Rice,Punjab,6.2,2.59,29317.86,212010.61,16.06,470844.83,258834.22,180013.89,11.86,6,31048.65,54.97,0.7,SAFE
Wheat,Madhya Pradesh,8.21,2.99,19838.6,53611.93,24.55,487037.63,433425.7,208690.45,8.46,6,35645.01,88.99,0.48,SAFE
Rice,Uttar Pradesh,6.32,3.81,26317.03,80697.23,24.08,633714.08,553016.85,240264.56,7.31,6,40902.19,87.27,0.43,SAFE
Rice,Madhya Pradesh,5.31,2.97,19364.96,95983.04,15.77,305385.42,209402.38,203218.09,8.21,9,23359.23,68.57,0.97,SAFE
Wheat,Punjab,4.76,2.87,28669.98,94844.43,13.66,391631.93,296787.5,236502.7,8.7,12,20649.62,75.78,0.8,SAFE
Wheat,Bihar,3.69,3.11,28899.67,227043.69,11.48,331768.21,104724.52,141071.05,10.96,6,24269.13,31.57,1.35,MODERATE
Rice,Madhya Pradesh,5.43,2.38,20117.97,51854.73,12.92,259924.17,208069.44,71053.47,8.19,9,8166.68,80.05,0.34,SAFE
Wheat,Haryana,4.73,2.55,29445.12,193559.21,12.06,355108.15,161548.94,189119.02,8.81,6,32334.7,45.49,1.17,SAFE
Wheat,Uttar Pradesh,4.07,3.16,22144.81,229143.77,12.86,284782.26,55638.49,258458.97,11.47,6,44529.01,19.54,4.65,RISKY
Wheat,Bihar,7.57,1.76,23442.36,205548.61,13.32,312252.24,106703.63,50654.38,8.63,6,8656.17,34.17,0.47,MODERATE
Rice,Bihar,7.5,2.06,26973.28,176607.26,15.45,416737.18,240129.92,154192.98,7.24,12,13358.88,57.62,0.64,SAFE
Rice,Punjab,4.93,2.15,19842.51,190910.05,10.6,210330.61,19420.56,104867.53,8.22,12,9132.93,9.23,5.4,RISKY
Rice,Bihar,4.11,2.29,29381.52,96777.83,9.41,276480.1,179702.27,147515.47,11.52,9,17187.38,65.0,0.82,SAFE
Rice,Haryana,1.44,3.01,22423.03,249871.76,4.33,97091.72,-152780.04,89774.76,7.66,12,7795.26,-157.36,999.0,RISKY
Wheat,Madhya Pradesh,3.01,3.55,24322.37,71580.07,10.69,260006.14,188426.07,226070.43,11.69,6,38973.46,72.47,1.2,SAFE
Rice,Uttar Pradesh,4.96,1.91,23772.74,152147.95,9.47,225127.85,72979.9,109443.39,10.51,12,9647.79,32.42,1.5,MODERATE
Rice,Uttar Pradesh,5.71,3.25,29847.12,177080.33,18.56,553962.55,376882.22,90110.65,7.36,6,15342.48,68.03,0.24,SAFE
Wheat,Punjab,2.91,3.57,27591.29,239702.92,10.39,286673.5,46970.58,248608.41,11.24,6,42803.66,16.38,5.29,RISKY
Wheat,Uttar Pradesh,3.91,3.1,26387.11,219563.47,12.12,319811.77,100248.3,225488.64,10.02,9,26111.91,31.35,2.25,MODERATE
Rice,Punjab,5.32,2.75,28090.71,154164.5,14.63,410967.09,256802.59,269915.83,9.0,12,23604.54,62.49,1.05,SAFE
Wheat,Madhya Pradesh,9.17,1.98,21206.82,212523.87,18.16,385115.85,172591.98,73268.86,8.49,6,12515.64,44.82,0.42,SAFE
Rice,Punjab,8.88,3.41,29261.92,168466.96,30.28,886050.94,717583.98,293713.54,10.72,12,25920.54,80.99,0.41,SAFE
Wheat,Madhya Pradesh,8.42,2.66,28203.87,178031.79,22.4,631766.69,453734.9,262080.21,7.33,9,30016.62,71.82,0.58,SAFE
Wheat,Madhya Pradesh,5.53,2.71,27632.37,246421.57,14.99,414209.23,167787.66,272594.72,7.62,12,23664.72,40.51,1.62,SAFE
Wheat,Madhya Pradesh,1.94,3.44,26310.52,89507.72,6.67,175491.17,85983.45,142951.35,8.69,6,24432.73,49.0,1.66,MODERATE
Wheat,Madhya Pradesh,5.38,2.8,27565.4,177236.44,15.06,415134.92,237898.48,64248.97,11.88,9,7496.78,57.31,0.27,SAFE
Rice,Bihar,2.54,2.85,24818.08,98882.33,7.24,179682.9,80800.57,142247.55,11.88,12,12630.54,44.97,1.76,MODERATE
Rice,Punjab,8.42,1.73,29981.66,200713.88,14.57,436832.79,236118.91,99298.82,10.38,6,17054.44,54.05,0.42,SAFE
Wheat,Uttar Pradesh,8.26,3.04,24544.0,203723.17,25.11,616299.84,412576.67,167782.56,7.42,12,14550.19,66.94,0.41,SAFE
Rice,Bihar,2.46,1.67,19685.74,187003.4,4.11,80908.39,-106095.01,208851.94,10.62,9,24244.69,-131.13,999.0,RISKY
Wheat,Punjab,6.32,3.54,26007.25,118295.82,22.37,581782.18,463486.36,131938.54,10.35,12,11620.98,79.67,0.28,SAFE
Rice,Bihar,6.39,2.45,24849.95,225614.7,15.66,389150.22,163535.52,159693.4,11.78,9,18625.97,42.02,0.98,SAFE
Rice,Punjab,7.46,1.86,19717.58,51173.77,13.88,273680.01,222506.24,120357.33,10.73,12,10622.23,81.3,0.54,SAFE
Wheat,Madhya Pradesh,4.81,2.65,27246.89,79278.63,12.75,347397.85,268119.22,73208.32,11.22,12,6477.79,77.18,0.27,SAFE
Wheat,Uttar Pradesh,9.1,3.42,26758.91,173506.38,31.12,832737.28,659230.9,266746.33,10.21,9,30913.59,79.16,0.4,SAFE
Rice,Punjab,3.8,2.96,18596.15,115895.74,11.25,209206.69,93310.95,85822.35,7.26,6,14608.13,44.6,0.92,MODERATE
Rice,Haryana,1.16,2.78,29688.31,96239.83,3.22,95596.36,-643.47,95327.54,9.54,12,8360.42,-0.67,999.0,RISKY
Wheat,Punjab,7.24,3.38,29698.59,93675.13,24.47,726724.5,633049.37,264762.97,8.0,6,45162.5,87.11,0.42,SAFE
Wheat,Uttar Pradesh,3.55,2.07,28616.49,51089.35,7.35,210331.2,159241.85,71287.13,7.91,6,12156.8,75.71,0.45,SAFE
Rice,Bihar,3.86,3.7,23789.96,213186.69,14.28,339720.63,126533.94,142950.83,8.55,6,24422.79,37.25,1.13,SAFE
Rice,Bihar,4.32,3.86,28087.5,173486.76,16.68,468499.5,295012.74,295210.84,11.08,9,34334.08,62.97,1.0,SAFE
Wheat,Uttar Pradesh,4.27,2.49,28080.16,119316.73,10.63,298492.1,179175.37,150762.67,8.59,9,17356.67,60.03,0.84,SAFE
Wheat,Haryana,4.13,3.56,25507.04,72117.55,14.7,374953.49,302835.94,77487.0,8.81,12,6769.53,80.77,0.26,SAFE
Rice,Haryana,6.15,3.35,24382.11,172475.77,20.6,502271.47,329795.7,132774.17,7.29,12,11506.28,65.66,0.4,SAFE
Wheat,Uttar Pradesh,3.51,3.81,21738.68,222846.42,13.37,290646.15,67799.73,174031.14,8.82,12,15204.76,23.33,2.57,MODERATE
Wheat,Bihar,4.16,2.86,28469.63,125358.77,11.9,338788.6,213429.83,192078.86,7.48,12,16662.49,63.0,0.9,SAFE
Wheat,Haryana,6.18,3.94,25562.6,80806.27,24.35,622449.31,541643.04,244290.21,10.93,6,42022.8,87.02,0.45,SAFE
Wheat,Uttar Pradesh,4.12,2.91,23878.58,83203.55,11.99,286304.17,203100.62,140278.75,7.51,6,23894.57,70.94,0.69,SAFE
Rice,Madhya Pradesh,5.67,2.0,21292.26,189382.43,11.34,241454.23,52071.8,69035.27,11.67,12,6123.05,21.57,1.33,MODERATE
Wheat,Bihar,5.69,1.77,23051.52,55072.76,10.07,232128.81,177056.05,129012.18,11.43,12,11428.2,76.27,0.73,SAFE
Wheat,Madhya Pradesh,1.5,2.84,18836.85,192940.72,4.26,80244.98,-112695.74,53523.97,10.96,12,4729.54,-140.44,999.0,RISKY
Wheat,Madhya Pradesh,2.64,3.21,29652.32,99020.55,8.47,251155.15,152134.6,241918.84,8.17,12,21063.16,60.57,1.59,SAFE
Rice,Punjab,3.35,3.08,29317.74,210131.04,10.32,302559.08,92428.04,273555.89,7.74,12,23763.32,30.55,2.96,MODERATE
Rice,Haryana,5.87,2.62,27256.7,117863.93,15.38,419208.05,301344.12,211901.16,10.6,12,18688.66,71.88,0.7,SAFE
Rice,Bihar,2.24,2.5,25962.83,201967.14,5.6,145391.85,-56575.29,121400.84,8.39,12,10582.37,-38.91,999.0,RISKY
Wheat,Uttar Pradesh,5.53,3.29,20986.49,99079.19,18.19,381744.25,282665.06,53789.02,10.9,12,4751.45,74.05,0.19,SAFE
Wheat,Haryana,6.29,1.68,21786.18,206113.05,10.57,230279.92,24166.87,203807.0,7.74,12,17704.36,10.49,8.43,RISKY
Rice,Bihar,2.88,3.16,24153.05,168928.49,9.1,219792.75,50864.26,175026.7,11.83,9,20418.54,23.14,3.44,MODERATE
Rice,Uttar Pradesh,1.79,2.86,19700.92,225242.41,5.12,100868.71,-124373.7,283664.44,8.63,6,48474.52,-123.3,999.0,RISKY
Rice,Bihar,5.76,3.49,28304.86,239364.25,20.1,568927.69,329563.44,290225.27,7.77,9,33300.24,57.93,0.88,SAFE
Rice,Bihar,8.93,3.94,20235.0,124264.12,35.18,711867.3,587603.18,181963.76,7.05,6,30953.94,82.54,0.31,SAFE
Wheat,Uttar Pradesh,6.33,2.93,21723.34,102829.56,18.55,402967.96,300138.4,133953.25,8.26,12,11668.49,74.48,0.45,SAFE
Wheat,Punjab,6.83,1.76,25481.63,121241.49,12.02,306289.19,185047.7,43825.67,10.86,12,3870.52,60.42,0.24,SAFE
Rice,Punjab,9.63,3.61,27849.61,199763.27,34.76,968052.44,768289.17,164474.09,9.46,6,28173.65,79.36,0.21,SAFE
Wheat,Uttar Pradesh,8.72,3.74,28984.56,155671.71,32.61,945186.5,789514.79,206889.67,9.02,6,35394.43,83.53,0.26,SAFE
Wheat,Bihar,4.67,1.88,22738.83,115330.25,8.78,199646.93,84316.68,276183.58,10.47,9,32041.29,42.23,3.28,MODERATE
Wheat,Haryana,9.35,3.82,25418.72,184866.09,35.72,907956.68,723090.59,230010.0,11.98,6,39685.58,79.64,0.32,SAFE
Wheat,Haryana,5.15,3.42,20584.63,56157.56,17.61,362495.33,306337.77,156706.75,11.93,12,13918.07,84.51,0.51,SAFE
Wheat,Madhya Pradesh,8.08,2.73,28143.69,87256.48,22.06,620849.8,533593.32,71844.33,9.33,12,6293.89,85.95,0.13,SAFE
Rice,Madhya Pradesh,5.72,1.6,25675.94,143000.36,9.15,234934.85,91934.49,158171.36,11.03,12,13981.66,39.13,1.72,MODERATE
Rice,Bihar,9.16,3.45,28547.62,220411.46,31.6,902104.79,681693.33,137566.57,8.25,6,23482.61,75.57,0.2,SAFE
Rice,Haryana,1.41,1.58,23735.6,75195.19,2.23,52930.39,-22264.8,55619.77,11.41,6,9580.89,-42.06,999.0,RISKY
Rice,Haryana,7.6,3.27,28216.15,95069.52,24.85,701171.33,606101.81,41894.64,10.17,6,7191.01,86.44,0.07,SAFE
Rice,Uttar Pradesh,7.31,3.67,23051.63,216305.74,26.83,618475.23,402169.49,292324.96,7.87,9,33554.93,65.03,0.73,SAFE
Rice,Bihar,5.83,3.24,26781.1,164142.45,18.89,505894.98,341752.53,145848.57,8.81,6,24936.52,67.55,0.43,SAFE
Rice,Punjab,6.84,2.03,22358.07,95420.34,13.89,310553.59,215133.25,141943.51,8.14,9,16311.24,69.27,0.66,SAFE
Wheat,Madhya Pradesh,3.47,2.88,26033.26,186106.87,9.99,260072.27,73965.4,132885.04,9.94,6,22794.01,28.44,1.8,MODERATE
Wheat,Haryana,6.55,2.5,23996.29,216622.28,16.38,393059.23,176436.95,46825.94,9.33,12,4102.17,44.89,0.27,SAFE
Wheat,Haryana,9.73,2.56,26578.21,227036.29,24.91,662063.21,435026.92,202507.39,11.79,12,17972.65,65.71,0.47,SAFE
Wheat,Haryana,8.41,2.61,25332.82,72204.89,21.95,556055.4,483850.51,251699.65,10.72,12,22212.77,87.01,0.52,SAFE
Rice,Madhya Pradesh,9.34,1.79,20431.51,196949.5,16.72,341614.85,144665.35,171610.19,11.36,12,15196.03,42.35,1.19,SAFE
Wheat,Madhya Pradesh,1.09,3.66,26675.32,106681.66,3.99,106434.53,-247.13,212061.28,11.75,9,24730.92,-0.23,999.0,RISKY
Wheat,Bihar,3.58,3.97,29111.95,204688.25,14.21,413680.81,208992.56,91544.23,9.41,9,10574.55,50.52,0.44,SAFE
Wheat,Madhya Pradesh,6.38,1.68,29136.7,172560.87,10.72,312345.42,139784.55,93746.67,8.5,12,8176.56,44.75,0.67,SAFE
Wheat,Haryana,6.66,3.94,20788.87,134268.76,26.24,545499.95,411231.19,177484.14,7.75,12,15418.56,75.39,0.43,SAFE
Rice,Punjab,6.3,2.8,26288.73,86250.54,17.64,463733.2,377482.66,228239.39,8.28,9,26242.87,81.4,0.6,SAFE
Rice,Bihar,1.2,2.2,27270.32,144555.01,2.64,71993.64,-72561.37,32573.28,9.68,12,2858.86,-100.79,999.0,RISKY
Wheat,Punjab,3.2,2.54,28591.1,180590.29,8.13,232445.64,51855.35,47965.43,7.79,6,8176.85,22.31,0.92,MODERATE
Wheat,Madhya Pradesh,3.37,2.64,25374.67,177386.42,8.9,225834.56,48448.14,154429.43,9.43,6,26450.76,21.45,3.19,RISKY
Wheat,Bihar,4.91,2.64,29209.96,129525.21,12.96,378561.08,249035.87,186846.55,11.99,6,32239.14,65.78,0.75,SAFE
Wheat,Punjab,6.4,2.71,21967.45,57909.14,17.34,380915.58,323006.44,97925.42,7.29,9,11213.77,84.8,0.3,SAFE
Rice,Punjab,8.03,1.57,18175.88,111612.64,12.61,229197.85,117585.21,119411.12,10.48,9,13853.98,51.3,1.02,MODERATE
Rice,Madhya Pradesh,9.91,1.77,21053.96,128976.21,17.54,369286.46,240310.25,199053.57,8.37,6,33990.19,65.07,0.83,SAFE
Wheat,Bihar,8.61,2.37,28966.36,240011.56,20.41,591203.41,351191.85,267819.76,7.96,9,30753.42,59.4,0.76,SAFE
Rice,Haryana,1.24,2.76,25131.92,239435.94,3.42,85951.17,-153484.77,139632.82,9.78,6,23940.46,-178.57,999.0,RISKY
Wheat,Bihar,1.93,2.65,22536.36,215962.11,5.11,115160.8,-100801.31,177245.53,11.2,6,30513.4,-87.53,999.0,RISKY
Rice,Punjab,9.5,1.55,19583.45,83090.81,14.72,288268.38,205177.57,127742.28,11.3,9,14870.22,71.18,0.62,SAFE
Wheat,Punjab,4.59,3.33,24605.36,227517.16,15.28,375969.9,148452.74,226725.1,11.45,9,26408.75,39.49,1.53,SAFE
Wheat,Haryana,4.34,2.9,24105.31,57088.33,12.59,303485.85,246397.52,234609.77,8.96,12,20512.62,81.19,0.95,SAFE
Wheat,Punjab,5.11,2.64,22854.67,126156.36,13.49,308309.5,182153.14,54282.16,10.05,6,9314.06,59.08,0.3,SAFE
Wheat,Uttar Pradesh,8.93,2.43,25358.06,74396.38,21.7,550269.9,475873.52,195326.28,10.73,6,33580.75,86.48,0.41,SAFE
Wheat,Punjab,7.85,2.85,19966.4,188441.34,22.37,446648.37,258207.03,104080.99,8.5,6,17779.42,57.81,0.4,SAFE
Rice,Haryana,3.64,3.81,19932.63,242759.19,13.87,276465.58,33706.39,185837.9,10.07,9,21524.69,12.19,5.51,RISKY
Wheat,Punjab,6.08,2.21,21398.72,95701.57,13.44,287598.8,191897.23,53067.75,8.11,9,6097.46,66.72,0.28,SAFE
Rice,Madhya Pradesh,1.59,2.38,29421.97,128500.91,3.78,111215.05,-17285.86,119586.89,10.53,12,10543.09,-15.54,999.0,RISKY
Rice,Madhya Pradesh,3.55,3.56,29140.86,169531.74,12.64,368340.47,198808.73,39319.26,7.07,12,3403.44,53.97,0.2,SAFE
Rice,Punjab,7.07,1.73,21312.74,79891.82,12.23,260654.81,180762.99,70698.47,9.67,9,8175.28,69.35,0.39,SAFE
Wheat,Madhya Pradesh,8.1,2.94,23169.22,58030.53,23.81,551659.13,493628.6,99527.99,10.94,6,17121.3,89.48,0.2,SAFE
Rice,Uttar Pradesh,9.76,2.1,25902.73,74065.56,20.5,531005.96,456940.4,194971.22,7.81,12,16943.12,86.05,0.43,SAFE
Wheat,Bihar,6.82,3.57,21304.29,164477.8,24.35,518759.46,354281.66,197481.83,9.26,12,17293.9,68.29,0.56,SAFE
Wheat,Uttar Pradesh,6.91,3.96,29930.02,95520.52,27.36,818885.35,723364.83,132206.1,8.01,9,15184.18,88.34,0.18,SAFE
Rice,Haryana,9.76,3.9,19452.98,121535.25,38.06,740380.42,618845.17,141327.86,11.79,12,12542.93,83.58,0.23,SAFE
Wheat,Madhya Pradesh,3.91,3.04,21279.18,217187.04,11.89,253009.45,35822.41,167153.65,11.1,12,14781.11,14.16,4.67,RISKY
Wheat,Uttar Pradesh,4.83,3.13,29605.51,137584.46,15.12,447635.31,310050.85,133559.32,10.41,12,11767.47,69.26,0.43,SAFE
Rice,Madhya Pradesh,6.76,3.47,22776.05,61474.63,23.46,534326.13,472851.5,61734.81,9.06,9,7120.96,88.49,0.13,SAFE
Rice,Punjab,4.04,3.34,27451.59,235003.92,13.49,370321.95,135318.03,42041.07,9.22,6,7196.47,36.54,0.31,SAFE
Rice,Madhya Pradesh,6.02,3.54,25026.61,247511.5,21.31,533317.06,285805.56,177739.57,11.35,6,30611.61,53.59,0.62,SAFE
Rice,Haryana,5.89,3.8,20601.53,200289.13,22.38,461062.24,260773.11,115202.43,9.12,12,10081.03,56.56,0.44,SAFE
Wheat,Bihar,6.2,3.82,20007.5,120068.96,23.68,473777.6,353708.64,161828.95,8.08,12,14083.23,74.66,0.46,SAFE
Rice,Haryana,2.0,2.19,21584.38,247946.66,4.38,94539.58,-153407.08,116304.08,7.54,6,19812.53,-162.27,999.0,RISKY
Rice,Haryana,9.32,3.53,24489.03,184441.14,32.9,805689.09,621247.95,64144.42,11.54,6,11053.44,77.11,0.1,SAFE
Wheat,Bihar,5.9,1.56,27333.74,230373.72,9.2,251470.41,21096.69,64954.28,9.43,9,7503.68,8.39,3.08,RISKY
Wheat,Punjab,3.59,2.71,24048.41,68905.75,9.73,233991.03,165085.28,132159.17,8.35,9,15199.97,70.55,0.8,SAFE
Wheat,Haryana,9.98,3.48,22147.22,113493.51,34.73,769172.95,655679.44,215718.51,8.92,9,24868.36,85.24,0.33,SAFE
Rice,Madhya Pradesh,3.62,1.53,19102.07,170878.52,5.54,105825.47,-65053.05,274371.93,8.92,12,23984.05,-61.47,999.0,RISKY
Rice,Bihar,9.55,2.67,24674.54,228456.18,25.5,629200.77,400744.59,69867.47,9.24,12,6117.79,63.69,0.17,SAFE
Wheat,Haryana,9.6,2.13,20738.62,163287.8,20.45,424104.78,260816.98,172461.27,11.83,9,20119.26,61.5,0.66,SAFE
Rice,Punjab,1.03,2.12,26228.65,165853.45,2.18,57178.46,-108674.99,217813.39,8.44,6,37201.09,-190.06,999.0,RISKY
Wheat,Madhya Pradesh,9.04,1.52,24578.14,206704.78,13.74,337703.64,130998.86,40386.94,9.25,12,3536.58,38.79,0.31,SAFE
Rice,Uttar Pradesh,7.99,3.04,27698.32,68339.14,24.29,672792.19,604453.05,192424.55,9.87,6,33000.3,89.84,0.32,SAFE
Rice,Madhya Pradesh,4.84,1.78,25838.19,82147.63,8.62,222725.2,140577.57,252713.46,9.99,9,29260.99,63.12,1.8,SAFE
Wheat,Bihar,5.24,3.93,23140.28,179755.48,20.59,476458.37,296702.89,257083.47,11.13,6,44248.87,62.27,0.87,SAFE
Rice,Haryana,5.96,2.86,19361.42,234816.63,17.05,330112.21,95295.58,158118.08,11.93,12,14043.42,28.87,1.66,MODERATE
Rice,Madhya Pradesh,3.67,2.48,28707.09,208705.28,9.1,261234.52,52529.24,283508.63,11.85,12,25169.51,20.11,5.4,RISKY
